Gene	GC	Length
ENSG00000226802.RP11-72I18.1	51.69	856
ENSG00000260649.RP11-56L13.4	34.55	219
ENSG00000265250.AL132709.3	42.27	96
ENSG00000235400.RP4-641G12.4	44.93	1586
ENSG00000182580.EPHB3	58.43	20625
ENSG00000251220.AC006052.1	41.45	344
ENSG00000001617.SEMA3F	57.74	34030
ENSG00000228211.HYALP1	36.19	15113
ENSG00000254504.RP11-167J8.2	42.92	37906
ENSG00000242525.OR7E100P	46.70	1014
ENSG00000165271.NOL6	54.48	12489
ENSG00000110344.UBE4A	40.54	39626
ENSG00000111786.SRSF9	46.53	8125
ENSG00000183828.NUDT14	64.58	8385
ENSG00000238809.snoU13	48.08	103
ENSG00000102760.RGCC	45.66	13323
ENSG00000253005.U6	38.10	104
ENSG00000120210.INSL6	39.59	21805
ENSG00000228407.RP4-800M22.1	43.53	339
ENSG00000198873.GRK5	50.42	248030
ENSG00000254698.RP11-659G9.3	41.20	75434
ENSG00000122547.EEPD1	45.46	148394
ENSG00000225011.RP11-810H18.1	44.05	8700
ENSG00000248347.RP11-1134I14.2	41.39	109289
ENSG00000213385.RP11-577H5.1	50.76	793
ENSG00000223861.RP11-74C1.2	53.33	494
ENSG00000257885.RP11-474C8.4	54.74	812
ENSG00000259088.CTD-2017C7.2	42.41	13766
ENSG00000083290.ULK2	41.45	97107
ENSG00000028310.BRD9	55.14	42533
ENSG00000131080.EDA2R	39.72	43629
ENSG00000134709.HOOK1	34.37	61592
ENSG00000237107.RP11-256G5.1	43.77	312
ENSG00000153294.GPR115	41.30	36157
ENSG00000123268.ATF1	41.93	57412
ENSG00000167183.PRR15L	52.01	5911
ENSG00000259948.RP11-326A19.5	42.92	677
ENSG00000228614.RP13-476E20.1	42.26	3399
ENSG00000170743.SYT9	40.11	230174
ENSG00000206355.CCHCR1	51.87	15772
ENSG00000255063.RP11-718B12.1	47.58	1155
ENSG00000138744.NAAA	44.40	30395
ENSG00000225732.TRIM31-AS1	46.14	9477
ENSG00000263688.RP11-386P4.1	35.90	1300
ENSG00000221378.AL096864.1	34.48	86
ENSG00000226897.BX004987.6	35.30	18955
ENSG00000187391.MAGI2	36.83	1436497
ENSG00000171132.PRKCE	44.43	536645
ENSG00000184022.OR2T10	47.28	1048
ENSG00000113924.HGD	41.27	54398
ENSG00000101444.AHCY	50.38	31534
ENSG00000258672.RP11-543C4.3	45.28	2203
ENSG00000238142.RP11-108M9.4	56.83	1111
ENSG00000181817.LSM10	50.65	6654
ENSG00000260070.RP11-182J23.1	40.00	704
ENSG00000250318.CTA-963H5.5	56.08	937
ENSG00000258949.RP11-857B24.5	36.63	12955
ENSG00000269208.AC139495.1	61.48	1271
ENSG00000204566.C10orf115	37.88	46865
ENSG00000242268.RP11-368I23.2	35.19	20051
ENSG00000057757.PITHD1	44.59	9827
ENSG00000253860.IGKV3-34	49.18	489
ENSG00000251883.U6atac	42.25	70
ENSG00000237754.RP11-521C10.1	42.63	630
ENSG00000266785.hsa-mir-877	62.79	85
ENSG00000260513.ZNF479	39.47	20250
ENSG00000204547.DEFB122	46.68	7744
ENSG00000072786.STK10	49.03	146313
ENSG00000226621.AC083855.5	50.39	257
ENSG00000211595.IGKJ3	47.37	37
ENSG00000222765.U2	38.27	195
ENSG00000263530.AC006994.3	86.46	95
ENSG00000204588.AC013268.5	47.66	9077
ENSG00000101331.CCM2L	50.17	21739
ENSG00000063180.CA11	53.83	8370
ENSG00000249971.RP11-256P1.1	50.10	2614
ENSG00000172201.ID4	53.08	3298
ENSG00000259662.FBXL22	58.52	4293
ENSG00000259648.RP11-643G16.4	38.16	1697
ENSG00000239178.U6	48.57	69
ENSG00000211995.AP000428.1	32.61	91
ENSG00000226406.RBMX2P1	46.89	835
ENSG00000224715.CITF22-49D8.1	46.86	27972
ENSG00000167194.C16orf92	59.69	4402
ENSG00000212932.RPL23AP4	50.41	481
ENSG00000254006.RP11-1D12.2	39.00	16337
ENSG00000228627.GS1-278J22.2	35.18	9035
ENSG00000207869.MIR498	47.58	123
ENSG00000249105.RP11-25L5.2	41.21	312
ENSG00000251329.RP11-240A16.1	35.00	2182
ENSG00000233200.RP11-324I22.2	42.02	10704
ENSG00000267708.RP11-147L13.7	42.65	6267
ENSG00000178974.FBXO34	40.98	90615
ENSG00000202039.U6	33.33	101
ENSG00000100902.PSMA6	42.27	38860
ENSG00000226343.HLA-DQB3	48.61	937
ENSG00000234773.CTD-2666L21.1	42.34	42752
ENSG00000129625.REEP5	41.72	46152
ENSG00000151276.MAGI1	40.31	682456
ENSG00000233834.AC005083.1	40.74	4123
ENSG00000155252.PI4K2A	46.37	92060
ENSG00000199673.SNORD16	44.44	98
ENSG00000252245.U6	51.14	87
ENSG00000183160.TMEM119	56.18	8474
ENSG00000267526.RP11-178C3.6	38.22	1778
ENSG00000220600.RP3-509I19.6	43.22	508
ENSG00000200101.U6	32.04	102
ENSG00000102145.GATA1	54.44	7756
ENSG00000269126.RP11-143H17.1	38.76	19392
ENSG00000166228.PCBD1	51.19	6504
ENSG00000207606.MIR554	48.96	95
ENSG00000120875.DUSP4	51.08	17604
ENSG00000261998.AC011515.2	56.06	1360
ENSG00000250604.RP11-597D13.8	42.68	1337
ENSG00000121940.CLCC1	41.68	33981
ENSG00000214881.TMEM14D	48.70	344
ENSG00000230993.AC018737.6	49.10	498
ENSG00000204634.TBC1D8	44.32	245249
ENSG00000235831.BHLHE40-AS1	40.71	83153
ENSG00000125788.DEFB126	35.41	3382
ENSG00000229299.RP4-583P15.10	57.09	1269
ENSG00000205542.TMSB4X	50.47	2119
ENSG00000202433.RNU6-54	40.19	106
ENSG00000253091.U3	45.33	149
ENSG00000199196.SNORA25	39.06	127
ENSG00000269828.TAS2R8	35.64	1242
ENSG00000269338.WI2-89031B12.1	48.23	791
ENSG00000251920.RNA5SP216	43.09	122
ENSG00000207996.MIR301A	40.70	85
ENSG00000261615.CTD-2291D10.1	45.88	14794
ENSG00000166183.ASPG	63.48	27082
ENSG00000264734.RP11-260A9.6	46.59	10752
ENSG00000268955.LRLE1	42.53	173
ENSG00000252151.U6	44.66	102
ENSG00000247675.LRP4-AS1	44.90	27984
ENSG00000203496.RP11-291L22.4	40.54	13202
ENSG00000267284.RP11-397A16.1	39.10	67698
ENSG00000266451.AP003385.1	37.50	87
ENSG00000176855.KRT18P28	55.78	1331
ENSG00000237361.RP11-269C23.3	49.75	5515
ENSG00000269515.AL137026.1	48.88	5052
ENSG00000252606.U6	38.38	98
ENSG00000205744.DENND1C	55.66	15350
ENSG00000266524.GDF10	52.92	13353
ENSG00000104983.CCDC61	52.63	26237
ENSG00000229798.AC006030.1	54.57	1280
ENSG00000264772.RP11-186B7.4	53.73	9198
ENSG00000264777.U6	41.00	99
ENSG00000214298.MRPS21P6	52.11	260
ENSG00000203781.AL591704.9	47.68	1381
ENSG00000224922.AL050303.7	37.31	1808
ENSG00000245248.RP11-305N23.1	47.74	144886
ENSG00000199072.MIRLET7F1	40.23	86
ENSG00000009830.POMT2	47.08	45928
ENSG00000113248.PCDHB15	53.00	2652
ENSG00000100664.EIF5	44.94	11481
ENSG00000254486.RP13-631K18.2	44.90	30910
ENSG00000239117.AL161669.1	44.30	78
ENSG00000131711.MAP1B	42.29	102334
ENSG00000138207.RBP4	49.28	10057
ENSG00000259038.CTD-2325P2.4	48.12	1279
ENSG00000267107.AC011526.1	43.75	46485
ENSG00000176153.GPX2	48.01	3661
ENSG00000189184.PCDH18	36.59	13576
ENSG00000262145.XRCC6BP1	40.87	15728
ENSG00000201078.7SK	58.73	314
ENSG00000143742.SRP9	40.55	12637
ENSG00000265300.AC007731.2	54.35	91
ENSG00000206663.Y_RNA	44.12	101
ENSG00000252545.U6	35.56	89
ENSG00000251125.CTD-2335O3.3	35.66	10931
ENSG00000239989.AC008132.14	55.24	390
ENSG00000232387.SKA2L	36.56	825
ENSG00000180772.AGTR2	33.69	4250
ENSG00000212539.U3	45.73	198
ENSG00000236744.RP11-168O22.1	33.92	349485
ENSG00000251370.CTD-2201E9.1	38.41	6753
ENSG00000257004.RP11-180M15.3	41.37	16093
ENSG00000251810.7SK	49.52	207
ENSG00000159023.EPB41	41.87	232950
ENSG00000222858.U6	41.30	91
ENSG00000248864.RP11-348J24.1	33.38	3354
ENSG00000109272.PF4V1	57.91	966
ENSG00000234693.RP4-530I15.6	48.14	16804
ENSG00000257252.RP11-486A14.2	43.11	60601
ENSG00000161714.PLCD3	57.80	24386
ENSG00000251201.TMED7-TICAM2	37.42	47519
ENSG00000248240.RP11-159F24.5	45.83	10036
ENSG00000260715.RP11-744D14.2	36.91	1405
ENSG00000175265.GOLGA8A	44.11	209435
ENSG00000257310.RP11-496I2.2	29.42	2711
ENSG00000224429.LINC00422	47.01	45209
ENSG00000264141.MIR3928	63.79	57
ENSG00000222884.AC023513.1	32.79	121
ENSG00000256010.U47924.11	62.26	5476
ENSG00000266419.SNORD83	44.74	75
ENSG00000261377.RP11-578F21.12	41.12	66551
ENSG00000202415.7SK	51.41	318
ENSG00000252026.U6	33.33	95
ENSG00000103769.RAB11A	40.10	165937
ENSG00000115282.TTC31	50.85	11813
ENSG00000244203.FOXP1-AS1	38.53	16084
ENSG00000224745.RP11-380G5.2	34.91	1735
ENSG00000101421.CHMP4B	46.43	43062
ENSG00000034677.RNF19A	38.61	79158
ENSG00000125971.DYNLRB1	48.33	24548
ENSG00000232430.AC105396.3	48.52	337
ENSG00000268230.CTD-2619J13.8	58.07	15897
ENSG00000087128.TMPRSS11E	36.69	50155
ENSG00000264300.RP11-640N20.1	42.27	3578
ENSG00000223481.TAP2	43.32	24905
ENSG00000235318.AC005037.6	34.90	297
ENSG00000263923.RP11-571L19.7	40.45	66097
ENSG00000259299.RP11-37J13.1	43.07	1464
ENSG00000259996.RP11-14K3.6	61.31	366
ENSG00000183876.ARSI	48.17	42964
ENSG00000260442.RP11-22P6.3	59.34	963
ENSG00000236759.EHMT2	53.82	17928
ENSG00000265060.PPY2	61.82	845
ENSG00000212280.RNA5SP256	51.33	112
ENSG00000166160.OPN1MW2	52.92	13530
ENSG00000229228.LINC00582	41.87	20798
ENSG00000244405.ETV5	42.69	64010
ENSG00000181609.OR52D1	48.45	1064
ENSG00000235411.AC007041.2	45.11	1154
ENSG00000239193.snoU13	37.50	103
ENSG00000268874.AC109993.1	48.84	128
ENSG00000258635.MEGT1	52.02	11011
ENSG00000219491.RP11-158D1.1	41.28	825
ENSG00000204969.PCDHA2	40.11	217485
ENSG00000267550.CTC-482H14.5	52.02	345
ENSG00000126522.ASL	54.60	17760
ENSG00000264660.RP11-381P6.1	43.97	43819
ENSG00000172283.PRYP4	41.73	13139
ENSG00000114473.IQCG	43.92	71067
ENSG00000227534.RP3-323B6.1	50.54	1293
ENSG00000257705.AL844853.1	79.28	689
ENSG00000174574.AKIRIN1	43.90	14836
ENSG00000169230.PRELID1	54.24	3185
ENSG00000258418.RP11-662J14.1	41.44	542
ENSG00000232018.AL132709.8	34.02	26141
ENSG00000241248.Metazoa_SRP	53.74	293
ENSG00000265479.DTX2P1-UPK3BP1-PMS2P11	50.86	62826
ENSG00000239265.CLRN1-AS1	40.71	228242
ENSG00000216181.AL391056.1	33.33	86
ENSG00000248484.RP11-375B1.1	52.03	18887
ENSG00000264594.MIR4640	64.44	89
ENSG00000249770.MTND6P17	38.34	518
ENSG00000225428.AC108479.1	46.83	362
ENSG00000260768.TRBV21-1	46.64	460
ENSG00000228513.AC023271.1	37.61	1089
ENSG00000121594.CD80	42.40	35309
ENSG00000267844.AL928970.1	67.26	564
ENSG00000262824.RP11-483E23.7	58.68	166
ENSG00000233670.PIRT	47.96	14904
ENSG00000266693.RP11-19M12.2	42.18	1047
ENSG00000221601.RNU4ATAC2P	46.83	125
ENSG00000264709.Y_RNA	40.20	101
ENSG00000199627.U6	42.06	106
ENSG00000232992.AC023468.2	56.20	1314
ENSG00000162714.ZNF496	48.34	34434
ENSG00000224744.PSORS1C3	52.04	4165
ENSG00000250623.RP11-317B7.3	46.18	1385
ENSG00000257216.AL845450.1	55.50	217
ENSG00000174607.UGT8	36.21	79769
ENSG00000071246.VASH1	54.83	20822
ENSG00000236717.RP11-100G15.10	44.88	7064
ENSG00000212561.U6	37.96	107
ENSG00000138639.ARHGAP24	36.75	527556
ENSG00000147613.PSKH2	39.01	40248
ENSG00000262214.AC006070.11	59.59	531
ENSG00000229658.PABPC1P9	42.51	2088
ENSG00000269332.CTC-457E21.3	54.20	7293
ENSG00000128536.CDHR3	43.79	159635
ENSG00000262460.AC008746.9	54.69	308
ENSG00000201165.U6	38.32	106
ENSG00000138758.SEPT11	40.66	90681
ENSG00000251018.RP11-80G7.1	37.64	10993
ENSG00000234754.RP11-421L10.1	40.65	6216
ENSG00000213265.TSGA13	42.84	18780
ENSG00000265510.MIR4436A	55.29	84
ENSG00000219361.RP11-250B2.2	47.49	357
ENSG00000256340.ABCC6P1	47.92	27166
ENSG00000232180.SLC44A4	53.63	15849
ENSG00000224398.CSNK2B	52.85	8310
ENSG00000257101.LRRC37A13P	51.92	286
ENSG00000150681.RGS18	33.96	27358
ENSG00000254440.PBOV1	38.26	2498
ENSG00000227686.VARS	56.19	4343
ENSG00000116984.MTR	40.72	108671
ENSG00000230113.AC091177.1	52.35	681
ENSG00000132842.AP3B1	36.53	294230
ENSG00000213115.AC104131.1	48.41	1193
ENSG00000177096.FAM109B	55.85	5190
ENSG00000140839.CLEC18B	56.85	12839
ENSG00000025800.KPNA6	44.21	68530
ENSG00000251498.RP11-468N14.10	32.62	2994
ENSG00000234895.OR52X1P	50.98	913
ENSG00000243284.VSIG8	56.31	8341
ENSG00000263778.AL671879.2	57.97	68
ENSG00000240808.CTD-3236F5.1	43.10	289
ENSG00000261840.RP11-146F11.1	66.44	1349
ENSG00000240540.RPL3P9	51.90	1182
ENSG00000203478.AC061975.4	52.60	153
ENSG00000250135.RP4-622L5.2	46.95	5835
ENSG00000254193.RP11-585F1.8	79.31	144
ENSG00000202177.Y_RNA	43.12	108
ENSG00000229152.ANKRD10-IT1	39.43	4113
ENSG00000137818.RPLP1	48.64	3132
ENSG00000219930.GAPDHP67	49.11	787
ENSG00000143185.XCL2	42.16	3232
ENSG00000255261.OR7E4P	47.78	1012
ENSG00000201041.RNA5SP242	59.32	117
ENSG00000250971.RP11-696F12.1	48.08	831
ENSG00000197061.HIST1H4C	51.57	414
ENSG00000255633.MTRNR2L9	45.54	526
ENSG00000111725.PRKAB1	47.82	13877
ENSG00000269041.AF011889.5	46.54	50047
ENSG00000266071.MIR3617	43.04	78
ENSG00000243003.LY6G6F	52.15	10939
ENSG00000131697.NPHP4	49.94	129662
ENSG00000269581.U82695.5	63.54	1886
ENSG00000251137.RPL7L1P7	45.17	723
ENSG00000185615.PDIA2	64.25	4063
ENSG00000165660.FAM175B	42.62	34885
ENSG00000268586.RP11-1260E13.4	56.26	2283
ENSG00000267228.IER3IP1	39.46	41625
ENSG00000264793.MIR4771-1	44.59	73
ENSG00000226688.RP11-429G19.2	39.46	337032
ENSG00000196811.CHRNG	56.95	8109
ENSG00000269157.XXbac-BPG308K3.6	43.08	3725
ENSG00000133641.C12orf29	36.21	16314
ENSG00000239090.Y_RNA	46.43	111
ENSG00000211917.IGHD3-16	37.84	36
ENSG00000238665.snoU13	46.46	98
ENSG00000234107.TPT1P1	41.31	517
ENSG00000227201.CNN2P1	56.64	917
ENSG00000228273.MUC3A	55.24	3167
ENSG00000077721.UBE2A	39.63	9880
ENSG00000213262.AL365331.2	44.20	827
ENSG00000269787.OR7A3P	46.50	941
ENSG00000263853.AC139530.1	58.14	85
ENSG00000206768.Y_RNA	41.18	101
ENSG00000226061.PCMTD1P1	39.15	354
ENSG00000108474.PIGL	44.82	131592
ENSG00000240036.RP11-587D21.1	46.28	375
ENSG00000265182.SRP72P1	42.17	1749
ENSG00000201329.U3	44.81	211
ENSG00000161204.ABCF3	51.95	7989
ENSG00000262131.GP6	48.31	24559
ENSG00000243644.AC239809.1	42.28	122
ENSG00000255468.RP11-867G23.8	48.63	16854
ENSG00000123977.WDR69	39.38	53290
ENSG00000214067.RP11-549L6.2	43.08	779
ENSG00000233133.AC104451.2	68.18	175
ENSG00000260083.MIR4519	52.70	19998
ENSG00000242255.RPL39P34	40.38	155
ENSG00000264075.MIR4783	74.39	81
ENSG00000128313.APOL5	47.71	11611
ENSG00000200217.U6	37.96	107
ENSG00000198750.GATSL2	52.56	60010
ENSG00000260328.RP11-416I2.1	53.92	3076
ENSG00000261580.RP11-104C4.5	65.25	258
ENSG00000222743.U6	39.42	103
ENSG00000143799.PARP1	46.80	47388
ENSG00000243339.Metazoa_SRP	51.69	295
ENSG00000215984.AC110769.1	33.33	86
ENSG00000229351.KRTAP9-11P	61.71	524
ENSG00000253543.RP11-89K10.2	46.54	375
ENSG00000170419.VSTM2A	39.92	28755
ENSG00000221410.MIR1238	68.67	82
ENSG00000183018.SPNS2	57.41	40197
ENSG00000221133.MIR1247	74.26	135
ENSG00000229033.RP5-931E15.2	60.04	1120
ENSG00000201405.Y_RNA	38.71	92
ENSG00000225078.RP11-123N4.4	40.67	1467
ENSG00000233843.CYCSP48	47.74	619
ENSG00000232841.AC098592.8	48.21	389
ENSG00000239426.OR8F1P	45.87	932
ENSG00000111186.WNT5B	47.53	117352
ENSG00000266483.AC010311.1	42.11	75
ENSG00000259302.RP11-182J1.11	72.73	32
ENSG00000206915.U6	41.51	105
ENSG00000234349.GLUD1P9	36.06	1172
ENSG00000224887.RP11-276H19.4	53.99	990
ENSG00000174502.SLC26A9	52.02	30412
ENSG00000212319.Y_RNA	36.08	96
ENSG00000269680.CTD-3128G10.6	51.28	3174
ENSG00000253746.RP11-527N22.2	42.46	1285
ENSG00000267249.RP11-973H7.3	36.39	719
ENSG00000266803.RP1-77H15.1	39.46	1284
ENSG00000236634.AC016903.1	40.62	3761
ENSG00000233995.KB-67B5.12	29.99	2610
ENSG00000223710.CRYGGP	60.69	144
ENSG00000224321.RP11-169K16.6	50.82	489
ENSG00000132646.PCNA	42.54	11673
ENSG00000226091.RP11-90D4.2	45.31	100817
ENSG00000263796.Metazoa_SRP	49.15	294
ENSG00000264876.RP11-138E9.2	42.76	49248
ENSG00000253759.IGHV3-57	47.50	279
ENSG00000136271.DDX56	53.74	9634
ENSG00000223669.RP11-93B14.4	55.97	2781
ENSG00000138380.ALS2CR8	38.58	74123
ENSG00000267484.CTC-518P12.6	48.26	575
ENSG00000261732.LA16c-431H6.6	53.15	54456
ENSG00000254993.RP11-107P7.5	37.14	7551
ENSG00000239126.snoU13	44.23	103
ENSG00000087494.PTHLH	40.26	14621
ENSG00000229246.RP11-521J24.1	41.91	772
ENSG00000255031.RP11-802E16.3	56.86	3022
ENSG00000173876.TUBB8	43.20	27275
ENSG00000250020.RP11-811I15.1	41.64	717
ENSG00000237772.AC092620.3	42.60	8657
ENSG00000207198.U6	47.12	103
ENSG00000212951.RP11-211N8.3	47.87	1710
ENSG00000217646.HIST1H2BPS2	56.76	339
ENSG00000258456.RP11-14J7.3	41.73	1135
ENSG00000157110.RBPMS	42.20	187834
ENSG00000258831.RP11-76E17.4	38.76	4661
ENSG00000074181.NOTCH3	55.04	41348
ENSG00000233268.RP11-558F24.2	50.63	1747
ENSG00000225590.VPS52	45.61	21759
ENSG00000226812.RP5-881L22.5	45.94	7633
ENSG00000204420.C6orf25	53.52	8120
ENSG00000206066.IGLL3P	61.48	1824
ENSG00000084628.NKAIN1	50.46	59809
ENSG00000206114.FAM138D	50.21	2335
ENSG00000023516.AKAP11	36.45	51107
ENSG00000268838.AC027228.1	44.87	1265
ENSG00000241818.RP11-1000B6.2	43.45	16981
ENSG00000248785.HIGD1AP14	43.62	281
ENSG00000244117.RP11-3N2.1	42.36	6012
ENSG00000159763.PIP	42.19	7669
ENSG00000250566.UGT2B29P	39.36	8206
ENSG00000075391.RASAL2	36.99	385780
ENSG00000130702.LAMA5	61.89	59357
ENSG00000182347.RP11-39K24.9	42.37	1113
ENSG00000232597.AC013727.1	36.60	23239
ENSG00000239388.ASB14	38.40	24335
ENSG00000240184.PCDHGC3	50.56	36962
ENSG00000125753.VASP	54.67	20404
ENSG00000264081.AL136985.1	45.98	86
ENSG00000257830.RP11-845M18.7	50.16	4509
ENSG00000252201.U6	35.56	89
ENSG00000115652.UXS1	45.03	101036
ENSG00000211707.TRBV7-1	52.87	521
ENSG00000229599.LINC00411	39.77	3502
ENSG00000171195.MUC7	38.43	52505
ENSG00000268794.VN1R90P	36.09	725
ENSG00000267173.CTC-512J12.6	39.03	71926
ENSG00000213203.GIMAP1	45.73	7727
ENSG00000101844.ATG4A	39.97	63003
ENSG00000258726.RP11-152L20.1	42.93	600
ENSG00000254502.FNTAL1	44.67	1134
ENSG00000166343.MSS51	42.15	9980
ENSG00000269277.PPP2R2D	48.98	25376
ENSG00000259341.RP11-20G13.1	49.70	4019
ENSG00000261027.TUBB7P	60.83	2348
ENSG00000250398.RP11-27G13.4	60.54	995
ENSG00000197165.SULT1A2	55.72	5166
ENSG00000262673.MAPK4	45.75	171746
ENSG00000259356.RP11-90E5.1	50.88	3637
ENSG00000223865.HLA-DPB1	48.11	11275
ENSG00000221095.AC135995.1	70.24	83
ENSG00000178538.CA8	39.22	94065
ENSG00000255152.MSH5-SAPCD1	48.78	24831
ENSG00000259051.RP11-736L22.1	51.95	332
ENSG00000197763.TXNRD3	40.50	83376
ENSG00000163206.SMCP	48.94	6730
ENSG00000201790.RNA5SP189	40.87	114
ENSG00000225305.TMEM183AP1	55.17	289
ENSG00000224151.USP9YP28	32.43	6311
ENSG00000207654.MIR128-1	50.00	81
ENSG00000179532.DNHD1	43.78	96498
ENSG00000207753.MIR452	41.18	84
ENSG00000156599.ZDHHC5	45.38	33440
ENSG00000140287.HDC	46.42	24115
ENSG00000253033.U7	40.00	59
ENSG00000261162.AGGF1P1	41.29	2072
ENSG00000176919.C8G	65.30	1728
ENSG00000001167.NFYA	40.00	27031
ENSG00000242201.Metazoa_SRP	52.72	293
ENSG00000025039.RRAGD	42.25	47634
ENSG00000204403.CASP12	37.21	12952
ENSG00000223308.7SK	45.31	319
ENSG00000269260.AL450472.1	49.15	117
ENSG00000266413.RP11-88L24.4	35.92	3036
ENSG00000202241.7SK	52.15	302
ENSG00000228265.RP5-1125A11.1	49.50	11305
ENSG00000221553.AC004924.1	38.93	148
ENSG00000167964.RAB26	58.26	13362
ENSG00000197976.AKAP17A	60.92	10921
ENSG00000089472.HEPH	38.50	106318
ENSG00000223750.RP4-673D20.1	42.49	42917
ENSG00000225184.XXbac-BCX196D17.5	37.09	4698
ENSG00000261747.RP11-932O9.3	52.74	200
ENSG00000266166.Metazoa_SRP	50.18	280
ENSG00000264375.RP11-343H5.6	56.26	973
ENSG00000261476.RP11-77K12.3	46.60	1765
ENSG00000266588.RP1-56K13.5	47.66	9784
ENSG00000185479.KRT6B	50.86	5475
ENSG00000180900.SCRIB	62.50	24459
ENSG00000207458.RNY3P9	40.57	105
ENSG00000014138.POLA2	47.90	43827
ENSG00000260388.RP11-279N8.3	40.68	2467
ENSG00000229265.USP8P1	39.80	3172
ENSG00000235690.RP11-445N18.6	38.20	21596
ENSG00000230098.RP11-462G8.3	48.21	559
ENSG00000259131.MBLAC2	36.86	16563
ENSG00000231479.SLC44A4	53.64	15861
ENSG00000231376.HMGN2P16	50.96	260
ENSG00000137331.IER3	58.55	1355
ENSG00000260383.HEATR7A	53.17	113911
ENSG00000092758.COL9A3	61.84	24915
ENSG00000242170.Metazoa_SRP	52.86	296
ENSG00000234498.RPL13AP20	56.54	611
ENSG00000164100.NDST3	36.26	225030
ENSG00000103569.AQP9	40.63	47742
ENSG00000129170.CSRP3	42.88	28542
ENSG00000199165.MIRLET7A1	43.48	91
ENSG00000222740.RNA5SP328	50.46	108
ENSG00000240511.RP11-464E15.5	38.17	316
ENSG00000260731.KRT8P22	56.96	1414
ENSG00000251281.CTD-2066L21.2	37.46	6285
ENSG00000259360.RP11-142J21.1	38.85	2053
ENSG00000251412.AC006296.1	39.19	25955
ENSG00000255927.AC005000.1	46.93	585
ENSG00000230427.RP11-313A24.1	38.54	5949
ENSG00000236524.RP11-134F2.2	41.98	24197
ENSG00000231703.RP4-669H2.1	43.80	15249
ENSG00000187514.PTMA	61.71	6646
ENSG00000214376.VSTM5	46.21	32299
ENSG00000243822.RP11-2G17.1	43.77	376
ENSG00000105722.ERF	64.09	7585
ENSG00000226631.SLC9A3P3	54.82	2228
ENSG00000254532.RP11-624D11.2	38.67	40285
ENSG00000226331.AC009302.4	47.87	469
ENSG00000254949.GNG5P3	47.83	206
ENSG00000099194.SCD	47.04	17714
ENSG00000226245.ZNF32-AS1	45.07	1175
ENSG00000110002.VWA5A	39.29	32359
ENSG00000258534.CTD-2134A5.4	53.34	25745
ENSG00000221613.AL161452.1	36.67	89
ENSG00000187012.LINC00207	53.97	2871
ENSG00000264338.AL359973.1	45.95	73
ENSG00000236877.AC019100.4	38.68	317
ENSG00000242871.Metazoa_SRP	54.85	236
ENSG00000138674.SEC31A	38.78	82505
ENSG00000265583.AC011994.1	32.35	101
ENSG00000265569.AC011453.1	57.43	100
ENSG00000211794.TRAV12-3	44.03	610
ENSG00000266049.RP11-703M24.5	37.27	144501
ENSG00000140259.MFAP1	43.98	20310
ENSG00000230528.NOS2P3	50.62	10907
ENSG00000238205.MPC1L	58.48	276
ENSG00000006007.GDE1	40.17	20452
ENSG00000216085.AC005048.1	36.26	90
ENSG00000200113.SNORA51	51.43	139
ENSG00000235506.SLC20A1P2	44.24	711
ENSG00000212278.SNORD81	32.43	73
ENSG00000250345.RP11-780M14.1	40.31	1686
ENSG00000262672.PTCHD3	38.72	16181
ENSG00000232326.TAP2	43.31	24893
ENSG00000147162.OGT	40.60	42814
ENSG00000126461.SCAF1	58.20	16517
ENSG00000106080.FKBP14	38.70	16097
ENSG00000251577.RP11-297P16.3	36.76	75789
ENSG00000257912.RP11-248E9.5	35.74	6295
ENSG00000255002.CTD-2509G16.2	45.88	9454
ENSG00000178287.SPAG11A	44.79	20991
ENSG00000237132.VN2R6P	40.25	15195
ENSG00000243568.RP11-2I17.1	45.48	795
ENSG00000238314.snoU13	40.86	92
ENSG00000268767.PLS3	38.90	89687
ENSG00000174529.TMEM81	47.19	1387
ENSG00000137345.MOG	45.73	15392
ENSG00000250534.RP11-475D8.1	36.17	7275
ENSG00000207437.SNORD28	36.00	74
ENSG00000232000.RP11-54D18.3	35.79	13881
ENSG00000259771.RP11-429D19.1	41.93	4442
ENSG00000264844.AC018767.1	35.29	118
ENSG00000228360.RP11-365F18.1	46.58	291
ENSG00000236792.RP11-142L4.2	38.60	442
ENSG00000254376.SOX5P	47.65	1126
ENSG00000171806.METTL18	40.77	2437
ENSG00000223488.MAPK6PS2	38.40	2059
ENSG00000154328.NEIL2	48.94	17711
ENSG00000242537.RP11-294L13.1	41.02	2766
ENSG00000268049.CTD-2619J13.9	61.68	1604
ENSG00000233415.RP11-101E14.3	32.65	12304
ENSG00000263257.RP11-65J21.4	47.85	10833
ENSG00000257165.RP11-171L9.1	37.19	91680
ENSG00000252141.RNU6-65	37.76	97
ENSG00000231118.PPIAP9	49.14	811
ENSG00000211517.MIR671	63.56	117
ENSG00000078902.TOLLIP	57.48	35283
ENSG00000037757.MRI1	52.16	9750
ENSG00000167554.ZNF610	44.88	31533
ENSG00000241034.Metazoa_SRP	50.90	278
ENSG00000086544.ITPKC	51.32	23757
ENSG00000235819.RP11-359J6.1	31.83	288
ENSG00000234413.RP6-29D12.2	58.46	519
ENSG00000185074.RP11-389K14.1	47.33	711
ENSG00000232663.RP3-477M7.6	46.01	162
ENSG00000261517.LINC00558	35.19	60700
ENSG00000113575.PPP2CA	40.38	31808
